Category,Category2,title,startday,startmonth,startyear,endday,endmonth,endyear,date,employer,department,college,event,city,state,country,description,link
employment,,Research Technician,,,2025,,,present,Jan 2025 - present,Auburn University,Entomology and Plant Pathology,College of Agriculture,,Auburn,AL,USA,"Analyzed data, prepared manuscripts, and determined bee species. Provided statistical consultation.",
employment,,Graduate Research Assistant,,,2022,,,2024,Jan 2022 - Dec 2024,Auburn University,Entomology and Plant Pathology,College of Agriculture,,Auburn,AL,USA,"Established two 4-year long research projects, aimed to understand the effects of 1) fall management practices (no management, mowing, light disking, and mowing + light disking) and 2) a pine-based biochar as a soil amendment on wildflower and foraging-bee density, diversity, and community composition.",
employment,,Pollinator Habitat Technician,,,2021,,,2021,June 2021 - Aug 2021,University of Massachusetts Amherst,,School of Earth and Sustainability,,Amherst,MA,USA,"Sampled bees and vegetation for the Pollinator Habitat in Log Landings (PHiLL) research project conducted in the Hoosier, Shawnee, and Mark Twain National Forests. Bees were collected by timed netting surveys and bowl traps, while vegetation species composition and cover characteristics were measured in seeded split-plots. Minor duties included bee processing and data entry.",
employment,,Pollinator Field Research Technician,,,2020,,,2020,June 2020 - Sept 2020,North Dakota State University,,School of Natural Resource Sciences,,Fargo,ND,USA,Surveyed pollinators in rangelands across northwestern North Dakota as part of a statewide monitoring effort. Conducted distance sampling for butterflies. Netted bees during timed surveys along belt transects and passively collected bees using pan traps. Sorted specimens by taxon and labeled for future pinning. Counted floral units along transects and performed vegetation cover surveys. Navigated to sites using Garmin Handheld GPS. Arranged site visits with landowners and managers.,
employment,,Restoration Ecology Apprentice,,,2019,,,2019,May 2019 - Nov 2019,The Wilds,Restoration Ecology Department,,,Cumberland,OH,USA,"Collaborated with the Ohio Department of Natural Resources to study pollinator composition and diversity on abandoned surface coal mines. Collected flower-visiting insects via targeted netting. Processed and idenitied specimens. Entered, managed, and analyzed data in program R and designed sitemaps in ArcGIS Pro. Conducted Pollard walk-style butterfly population surveillance in managed tallgrass prairie. Collected capture-mark-recapture data from American burying beetles (\textit{Nicrophorus americanus}) and congeners.",
employment,,Lab and Field Techician,,,2017,,,2018,Oct 2017 - Nov 2018,The University of Maine,,School of Biology and Ecology,,Orono,ME,USA,"Collected and entered data to assess population dynamics, pesticide resistance, and parasitism of/on invasive browntail moth (\textit{Euproctis chrysorrhoea}) (BTM) at field sites throughout coastal Maine. Collected live BTM egg masses, larvae, and overwintering and pupation nests. Identified parasitic flies (Tachinids), their puparia, and wasps (Ichneumonids and Chalcidoids) reared from collected BTM nests and pupae. Maintained in-lab experimental assays testing the effect of several pesticides and pathogens on BTM survival and feeding. Developed a leaf area measurement protocol using ImageJ to compare larval browse within and among treatment groups.",
award,,Penobscot County Conservation Scholarship,,,2018,,,2019,2018 & 2019,The University of Maine,,School of Biology and Ecology,,Orono,ME,USA,Awarded to wildlife students who show high promise as potential wildlife biologists and are dedicated to a career in wildlife conservation.,
award,,Wayland A. Shands Scholarship,,,2018,,,,2018,The University of Maine,,School of Biology and Ecology,,Orono,ME,USA,Awarded to a student of Entomology with high academic standing.,
award,,"First Place, Oral Presentation",,,,,,,2024,"Plants, Insects, and Microbes Symposium",,,,,,,Student competition award.,
TA,,WILD 7150,,,,,,,2024,,,,,,,,Advanced Analysis for Ecological Sciences,
extension,Talk,Turf-adjacent wildflower plantings for pollinators,20,July,2023,,,,,,,,Turfgrass Field Day,Auburn,AL,USA,,
